iter	Passed	Remaining
881	2264	302
882	2266	300
883	2267	297
884	2269	294
885	2271	292
886	2273	289
887	2275	286
888	2277	284
889	2279	281
890	2281	279
891	2282	276
892	2284	273
893	2286	271
894	2288	268
895	2290	265
896	2292	263
897	2294	260
898	2296	258
899	2298	255
900	2301	252
901	2303	250
902	2304	247
903	2306	244
904	2308	242
905	2310	239
906	2312	237
907	2315	234
908	2317	232
909	2319	229
910	2321	226
911	2323	224
912	2325	221
913	2327	218
914	2330	216
915	2331	213
916	2333	211
917	2335	208
918	2338	206
919	2339	203
920	2341	200
921	2343	198
922	2345	195
923	2346	193
924	2348	190
925	2350	187
926	2352	185
927	2354	182
928	2356	180
929	2358	177
930	2360	174
931	2362	172
932	2363	169
933	2366	167
934	2367	164
935	2369	162
936	2371	159
937	2373	156
938	2375	154
939	2376	151
940	2378	149
941	2379	146
942	2382	143
943	2384	141
944	2386	138
945	2388	136
946	2390	133
947	2392	131
948	2394	128
949	2396	126
950	2398	123
951	2400	121
952	2402	118
953	2404	115
954	2406	113
955	2408	110
956	2410	108
957	2412	105
958	2414	103
959	2415	100
960	2418	98
961	2419	95
962	2421	93
963	2423	90
964	2426	88
965	2428	85
966	2429	82
967	2430	80
968	2433	77
969	2434	75
970	2436	72
971	2437	70
972	2441	67
973	2442	65
974	2444	62
975	2445	60
976	2448	57
977	2449	55
978	2451	52
979	2452	50
980	2455	47
981	2457	45
982	2458	42
983	2460	40
984	2462	37
985	2464	34
986	2466	32
987	2467	29
988	2469	27
989	2471	24
990	2473	22
991	2474	19
992	2477	17
993	2479	14
994	2481	12
995	2485	9
996	2487	7
997	2489	4
998	2492	2
999	2494	0
